region,day,total_trucks,total_routes,total_cost,total_ww_cost
1,54,2,1,1203.6627423948757,1203.6627423948757
2,54,3,5,3530.1781806281406,3530.1781806281406
3,54,4,3,3148.292989758086,3148.292989758086
4,54,3,4,3190.5774077851984,3190.5774077851984
5,54,2,1,1194.3250151276368,1194.3250151276368
6,54,3,3,2458.1984072852183,2458.1984072852183
7,54,2,2,2277.9153276354727,2277.9153276354727
0,55,5,7,4417.1944922316,4417.1944922316
1,55,2,1,1286.996075728209,1286.996075728209
2,55,3,3,3025.999979577629,3025.999979577629
3,55,4,4,2685.5766628921883,2685.5766628921883
4,55,3,3,2481.9863188515565,2481.9863188515565
5,55,2,2,1557.8453942743943,1557.8453942743943
6,55,3,3,2816.9374166218045,2816.9374166218045
7,55,2,2,2015.4153276354727,2015.4153276354727
0,56,5,6,3967.6376687415022,3967.6376687415022
1,56,2,1,1161.996075728209,1161.996075728209
2,56,3,4,3107.4213103171096,3107.4213103171096
3,56,4,5,3054.4430580684184,3054.4430580684184
4,56,3,4,2949.75805292772,2949.75805292772
5,56,2,2,1816.3604099518197,1816.3604099518197
6,56,3,2,1998.0763063112347,1998.0763063112347
7,56,2,2,2223.748660968806,2223.748660968806
0,57,5,4,4226.464301013194,4226.464301013194
1,57,2,1,1328.6627423948757,1328.6627423948757
2,57,3,4,3325.0212664442097,3325.0212664442097
3,57,4,5,3131.3619169399653,3131.3619169399653
4,57,3,3,2482.5568142170105,2482.5568142170105
5,57,2,1,1277.6583484609703,1277.6583484609703
6,57,3,2,2036.064712997206,2036.064712997206
7,57,2,1,1623.428085930286,1623.428085930286
0,58,5,7,4314.657294880855,4314.657294880855
1,58,2,1,1286.996075728209,1286.996075728209
2,58,3,4,2940.7546436504426,2940.7546436504426
3,58,4,5,3089.6952502732984,3089.6952502732984
4,58,3,4,3168.240161170625,3168.240161170625
5,58,2,1,1360.9916817943035,1360.9916817943035
6,58,3,3,2687.8611368934085,2687.8611368934085
7,58,2,1,1623.428085930286,1623.428085930286
0,59,5,6,4182.641425533997,4182.641425533997
1,59,2,1,1370.3294090615425,1370.3294090615425
2,59,3,3,3044.44802798751,3044.44802798751
3,59,4,3,2485.4170113343844,2485.4170113343844
4,59,3,4,2949.7580529277207,2949.7580529277207
5,59,2,1,1319.3250151276368,1319.3250151276368
6,59,3,3,2587.4473254474024,2587.4473254474024
7,59,2,2,2044.5819943021395,2044.5819943021395
0,60,5,5,4129.370457867474,4129.370457867474
1,60,2,2,1639.8043621802237,1639.8043621802237
2,60,3,4,2837.2611841263215,2837.2611841263215
3,60,4,4,2810.879998072596,2810.879998072596
4,60,3,5,3766.2080053662808,3766.2080053662808
5,60,2,1,1235.9916817943035,1235.9916817943035
6,60,3,4,3126.227822128755,3126.227822128755
7,60,2,2,2032.0819943021393,2032.0819943021393
0,61,5,6,4123.6073395987705,4123.6073395987705
1,61,2,1,1328.6627423948757,1328.6627423948757
2,61,3,3,3010.8070115167106,3010.8070115167106
3,61,4,5,2923.0285836066323,2923.0285836066323
4,61,3,2,1994.8229025256783,1994.8229025256783
5,61,2,2,1557.8453942743943,1557.8453942743943
6,61,3,2,2027.2429729779014,2027.2429729779014
7,61,2,1,1623.428085930286,1623.428085930286
0,62,5,6,4345.143470401102,4345.143470401102
1,62,2,1,884.1053360856226,884.1053360856226
2,62,3,4,3165.905899819344,3165.905899819344
3,62,4,4,2785.8154904733146,2785.8154904733146
4,62,3,3,2629.452234874491,2629.452234874491
5,62,2,1,1194.3250151276368,1194.3250151276368
6,62,3,3,2558.280658780736,2558.280658780736
7,62,2,1,1515.0947525969525,1515.0947525969525
0,63,5,6,3915.3775440743593,3915.3775440743593
1,63,2,1,1203.6627423948757,1203.6627423948757
2,63,3,4,3308.2106843526662,3308.2106843526662
3,63,4,6,3360.379457734807,3360.379457734807
4,63,3,2,2490.969003905442,2490.969003905442
5,63,2,2,1557.8453942743945,1557.8453942743945
6,63,3,2,2109.3763553975423,2109.3763553975423
7,63,2,2,2140.4153276354727,2140.4153276354727
0,64,5,6,4098.885100289,4098.885100289
1,64,2,1,1203.6627423948757,1203.6627423948757
2,64,3,4,2833.102495886078,2833.102495886078
3,64,4,5,2887.7763914017514,2887.7763914017514
4,64,3,2,1950.2543323158452,1950.2543323158452
5,64,2,1,1110.9916817943035,1110.9916817943035
6,64,3,3,2632.6901363259212,2632.6901363259212
7,64,2,2,2236.2486609688062,2236.2486609688062
0,65,5,6,3989.95054674134,3989.95054674134
1,65,2,2,1639.804362180224,1639.804362180224
2,65,3,4,3254.187933110876,3254.187933110876
3,65,4,5,3137.7763914017514,3137.7763914017514
4,65,3,4,3052.824148315861,3052.824148315861
5,65,2,1,1194.3250151276368,1194.3250151276368
6,65,3,2,2345.051894465048,2345.051894465048
7,65,2,2,2253.7892865965455,2253.7892865965455
0,66,5,7,4424.1578152515085,4424.1578152515085
1,66,2,1,1161.996075728209,1161.996075728209
2,66,3,3,3185.805928255375,3185.805928255375
3,66,4,4,2791.681601362982,2791.681601362982
4,66,3,2,2426.9772019350576,2426.9772019350576
5,66,2,2,1724.512060941061,1724.512060941061
6,66,3,3,3086.804093344854,3086.804093344854
7,66,2,2,2223.748660968806,2223.748660968806
0,67,5,6,3802.443790791143,3802.443790791143
1,67,2,1,1120.3294090615423,1120.3294090615423
2,67,3,3,2567.0846055997386,2567.0846055997386
3,67,4,4,2813.5328650174283,2813.5328650174283
4,67,3,3,2524.133063281128,2524.133063281128
5,67,2,2,1516.1787276077278,1516.1787276077278
6,67,3,3,2757.6901363259212,2757.6901363259212
7,67,2,2,2044.3890960809385,2044.3890960809385
0,68,5,6,3869.0281260388365,3869.0281260388365
1,68,2,2,1810.9149584397005,1810.9149584397005
2,68,3,3,2971.455905856199,2971.455905856199
3,68,4,4,2895.4757872329737,2895.4757872329737
4,68,3,2,2054.22115465673,2054.22115465673
5,68,2,1,1110.9916817943035,1110.9916817943035
6,68,3,2,2236.380311100048,2236.380311100048
7,68,2,2,2212.122619929879,2212.122619929879
0,69,5,7,4321.811947990245,4321.811947990245
1,69,2,1,1197.526026358051,1197.526026358051
