region,day,total_trucks,total_routes,total_overworked,total_double_shift,total_cost,cost_overworked,total_ww_cost
6,60,3,4,2,1,3866.3669447145935,478.4703539246804,3866.3669447145935
7,60,2,2,1,0,2445.7473143525185,53.76855866558457,2445.7473143525185
0,61,5,5,1,0,5442.724388046549,56.21877511018496,5442.724388046549
1,61,2,3,1,1,3026.3778834794416,184.37690400270907,3026.3778834794416
2,61,3,4,2,1,3896.509570000984,149.4518105350541,3896.509570000984
3,61,4,5,0,1,4690.608179204434,0.0,4690.608179204434
4,61,3,4,3,1,5094.885449052905,523.4961095781441,5094.885449052905
5,61,2,3,0,1,2544.9584457542032,0.0,2544.9584457542032
6,61,3,4,2,1,3811.350423836741,439.0581508759671,3811.350423836741
7,61,2,2,1,0,2602.645140902895,191.99247371721535,2602.645140902895
0,62,5,4,2,0,5061.50925361154,76.05188295389577,5061.50925361154
1,62,2,2,1,0,2438.1814929335214,35.59182413911698,2438.1814929335214
2,62,3,4,1,1,4113.218071351961,118.54895467084519,4113.218071351961
3,62,4,6,1,2,3886.909688924452,75.430887939495,3886.909688924452
4,62,3,4,2,1,4747.76516646725,329.4852237115003,4747.76516646725
5,62,2,3,1,1,2789.444172899295,57.447252289065894,2789.444172899295
6,62,3,4,1,1,4212.453606329686,260.80403579358887,4212.453606329686
7,62,2,2,1,0,2361.2486609688062,224.31731215851326,2361.2486609688062
0,63,5,5,1,0,5521.241302546293,48.26565172268662,5521.241302546293
1,63,2,3,1,1,2997.907244652747,143.97889501459684,2997.907244652747
2,63,3,3,2,0,3717.822729971478,263.0836129483262,3717.822729971478
3,63,4,5,0,1,4347.987000696969,0.0,4347.987000696969
