region,routes,total_duration,total_demand
1,"['Distribution Centre Auckland', 'Woolworths Takanini', 'Woolworths Roselands', 'Distribution Centre Auckland']",13332.3,15.75
1,"['Distribution Centre Auckland', 'Woolworths Takanini', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']",13159.25,16.15
1,"['Distribution Centre Auckland', 'Woolworths Takanini', 'Woolworths Papakura', 'Distribution Centre Auckland']",13185.23,15.3
1,"['Distribution Centre Auckland', 'Woolworths Takanini', 'FreshChoice Papakura', 'Distribution Centre Auckland']",11762.93,12.7
1,"['Distribution Centre Auckland', 'FreshChoice Papakura', 'Distribution Centre Auckland']",6785.9,4.8
1,"['Distribution Centre Auckland', 'FreshChoice Papakura', 'Woolworths Roselands', 'Distribution Centre Auckland']",11739.18,12.65
1,"['Distribution Centre Auckland', 'FreshChoice Papakura', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']",12008.39,13.05
1,"['Distribution Centre Auckland', 'FreshChoice Papakura', 'Woolworths Papakura', 'Distribution Centre Auckland']",11410.46,12.2
1,"['Distribution Centre Auckland', 'Woolworths Takanini', 'Woolworths Roselands', 'Distribution Centre Auckland']",13332.3,15.75
1,"['Distribution Centre Auckland', 'FreshChoice Papakura', 'Woolworths Roselands', 'Distribution Centre Auckland']",11739.18,12.65
1,"['Distribution Centre Auckland', 'Woolworths Roselands', 'Distribution Centre Auckland']",8567.970000000001,7.85
1,"['Distribution Centre Auckland', 'Woolworths Roselands', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']",13613.17,16.1
1,"['Distribution Centre Auckland', 'Woolworths Papakura', 'Woolworths Roselands', 'Distribution Centre Auckland']",13184.05,15.25
1,"['Distribution Centre Auckland', 'Woolworths Takanini', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']",13159.25,16.15
1,"['Distribution Centre Auckland', 'FreshChoice Papakura', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']",12008.39,13.05
1,"['Distribution Centre Auckland', 'Woolworths Roselands', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']",13613.17,16.1
1,"['Distribution Centre Auckland', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']",7850.25,8.25
1,"['Distribution Centre Auckland', 'Woolworths Papakura', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']",13501.3,15.65
1,"['Distribution Centre Auckland', 'Woolworths Takanini', 'Woolworths Papakura', 'Distribution Centre Auckland']",13185.23,15.3
1,"['Distribution Centre Auckland', 'FreshChoice Papakura', 'Woolworths Papakura', 'Distribution Centre Auckland']",11410.46,12.2
1,"['Distribution Centre Auckland', 'Woolworths Papakura', 'Woolworths Roselands', 'Distribution Centre Auckland']",13184.05,15.25
1,"['Distribution Centre Auckland', 'Woolworths Papakura', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']",13501.3,15.65
1,"['Distribution Centre Auckland', 'Woolworths Papakura', 'Distribution Centre Auckland']",8278.8,7.4
2,"['Distribution Centre Auckland', 'Woolworths Pakuranga', 'Distribution Centre Auckland']",7646.43,8.4
2,"['Distribution Centre Auckland', 'Woolworths Howick', 'Woolworths Pakuranga', 'Distribution Centre Auckland']",14918.48,17.6
2,"['Distribution Centre Auckland', 'Woolworths Pakuranga', 'Woolworths Meadowlands', 'Distribution Centre Auckland']",14339.850000000002,16.950000000000003
2,"['Distribution Centre Auckland', 'Woolworths Highland Park', 'Woolworths Pakuranga', 'Distribution Centre Auckland']",13639.970000000001,16.450000000000003
2,"['Distribution Centre Auckland', 'Woolworths Pakuranga', 'Woolworths Botany Downs', 'Distribution Centre Auckland']",13417.64,16.35
2,"['Distribution Centre Auckland', 'Woolworths Pakuranga', 'Woolworths Meadowbank', 'Distribution Centre Auckland']",13921.480000000001,16.700000000000003
2,"['Distribution Centre Auckland', 'Woolworths St Johns', 'Woolworths Pakuranga', 'Distribution Centre Auckland']",13655.22,16.65
2,"['Distribution Centre Auckland', 'FreshChoice Half Moon Bay', 'Woolworths Pakuranga', 'Distribution Centre Auckland']",11480.25,12.9
2,"['Distribution Centre Auckland', 'Woolworths Howick', 'Woolworths Pakuranga', 'Distribution Centre Auckland']",14918.48,17.6
2,"['Distribution Centre Auckland', 'Woolworths Howick', 'Distribution Centre Auckland']",9769.34,9.2
2,"['Distribution Centre Auckland', 'Woolworths Howick', 'Woolworths Meadowlands', 'Distribution Centre Auckland']",14999.69,17.75
2,"['Distribution Centre Auckland', 'Woolworths Howick', 'Woolworths Highland Park', 'Distribution Centre Auckland']",14707.880000000001,17.25
2,"['Distribution Centre Auckland', 'Woolworths Howick', 'Woolworths Botany Downs', 'Distribution Centre Auckland']",14608.79,17.15
2,"['Distribution Centre Auckland', 'Woolworths Howick', 'Woolworths Meadowbank', 'Distribution Centre Auckland']",16011.3,17.5
2,"['Distribution Centre Auckland', 'Woolworths St Johns', 'Woolworths Howick', 'Distribution Centre Auckland']",15750.14,17.45
